"","Correct","Wrong","Test.image.count","Accuracy","Detect.Accuracy","FPS","Radius","Neighbours","Scale","Cascade","Single","Dataset","eval"
"230",116,134,250,0.475995075913008,0.8813,0.015695067264574,10,9,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.00747077473406066
"231",53,197,250,0.217480508822323,0.8813,0.123318385650224,20,1,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0268193452583582
"232",86,164,250,0.35289290110792,0.8813,0.120731286650569,20,3,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0426052140006112
"233",96,154,250,0.393926959376282,0.8813,0.111590203518455,20,5,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0439583895682054
"234",102,148,250,0.4185473943373,0.8813,0.0700241462573301,20,7,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0293084239566995
"235",108,142,250,0.443167829298318,0.8813,0.0212142117971714,20,9,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.00940145619242723
"236",54,196,250,0.221583914649159,0.8813,0.124870645050017,30,1,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0276693263549484
"237",80,170,250,0.328272466146902,0.8813,0.120731286650569,30,3,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0396327572098709
"238",87,163,250,0.356996306934756,0.8813,0.107968264918938,30,5,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0385442718422141
"239",99,151,250,0.406237176856791,0.8813,0.0701966195239738,30,7,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0285164765403094
"240",102,148,250,0.4185473943373,0.8813,0.0277681959296309,30,9,1,"haarcascades/haarcascade_frontalface_alt_tree.xml",0,"dup1",0.0116223060517946
"241",66,184,250,0.270824784571194,0.999,0.385650224215247,1,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.104443638892927
"242",110,140,250,0.45137464095199,0.999,0.345463953087272,1,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.155933667786622
"243",128,122,250,0.525235945835043,0.999,0.287685408761642,1,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.151102717773862
"244",126,124,250,0.517029134181371,0.999,0.15039668851328,1,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0777594696457667
"245",124,126,250,0.508822322527698,0.999,0.0132804415315626,1,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00675738510428299
"246",73,177,250,0.299548625359048,0.999,0.396343566747154,3,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.118724170589012
"247",119,131,250,0.488305293393517,0.999,0.350983097619869,3,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.171386904459435
"248",128,122,250,0.525235945835043,0.999,0.295274232493963,3,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.155088640784683
"249",132,118,250,0.541649569142388,0.999,0.184028975508796,3,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0996792152940545
"250",135,115,250,0.553959786622897,0.999,0.018282166264229,3,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0101275849227366
"251",71,179,250,0.291341813705375,0.999,0.396343566747154,5,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.115471453586573
"252",119,131,250,0.488305293393517,0.999,0.355467402552604,5,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.173576614295281
"253",128,122,250,0.525235945835043,0.999,0.300448430493274,5,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.157806315564789
"254",131,119,250,0.537546163315552,0.999,0.173508106243532,5,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0932686168153579
"255",140,110,250,0.574476815757078,0.999,0.0148327009313556,5,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00852104280012224
"256",75,175,250,0.307755437012721,0.999,0.391514315281131,7,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.120490659196081
"257",116,134,250,0.475995075913008,0.999,0.354949982752673,7,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.16895444398568
"258",126,124,250,0.517029134181371,0.999,0.291307347361159,7,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.150614385586812
"259",135,115,250,0.553959786622897,0.999,0.160055191445326,7,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0886641397009397
"260",144,106,250,0.590890439064423,0.999,0.0131079682649189,7,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00774537312330048
"261",75,175,250,0.307755437012721,0.999,0.396343566747154,8,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.121976887591451
"262",114,136,250,0.467788264259335,0.999,0.361159020351845,8,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.168945951251992
"263",134,116,250,0.549856380796061,0.999,0.291307347361159,8,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.160177203719308
"264",140,110,250,0.574476815757078,0.999,0.154536046912729,8,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0887773761501108
"265",146,104,250,0.599097250718096,0.999,0.0134529147982063,8,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00805960426975017
"266",74,176,250,0.303652031185884,0.999,0.393583994480856,10,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.119512579366366
"267",114,136,250,0.467788264259335,0.999,0.351672990686444,10,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.164508497900101
"268",128,122,250,0.525235945835043,0.999,0.29510175922732,10,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.154998051625346
