659; 333; 66.43%; 99.90%; 12.42; 1; 1 
729; 263; 73.49%; 99.90%; 11.21; 1; 2 
790; 202; 79.64%; 99.90%; 10.48; 1; 3 
838; 154; 84.48%; 99.90%; 8.79; 1; 5 
828; 164; 83.47%; 99.90%; 6.24; 1; 7 
842; 150; 84.88%; 99.90%; 4.08; 1; 8 
817; 175; 82.36%; 99.90%; 1.37; 1; 10 
677; 315; 68.25%; 99.90%; 10.71; 2; 1 
730; 262; 73.59%; 99.90%; 10.57; 2; 2 
808; 184; 81.45%; 99.90%; 10.08; 2; 3 
832; 160; 83.87%; 99.90%; 9.26; 2; 5 
845; 147; 85.18%; 99.90%; 7.16; 2; 7 
851; 141; 85.79%; 99.90%; 4.77; 2; 8 
844; 148; 85.08%; 99.90%; 1.19; 2; 10 
678; 314; 68.35%; 99.90%; 12.05; 3; 1 
741; 251; 74.70%; 99.90%; 10.69; 3; 2 
831; 161; 83.77%; 99.90%; 10.80; 3; 3 
854; 138; 86.09%; 99.90%; 12.83; 3; 5 
853; 139; 85.99%; 99.90%; 9.54; 3; 7 
864; 128; 87.10%; 99.90%; 6.39; 3; 8 
869; 123; 87.60%; 99.90%; 1.32; 3; 10 
702; 290; 70.77%; 99.90%; 15.69; 5; 1 
760; 232; 76.61%; 99.90%; 15.08; 5; 2 
830; 162; 83.67%; 99.90%; 14.62; 5; 3 
849; 143; 85.58%; 99.90%; 13.22; 5; 5 
861; 131; 86.79%; 99.90%; 9.39; 5; 7 
870; 122; 87.70%; 99.90%; 5.56; 5; 8 
873; 119; 88.00%; 99.90%; 1.36; 5; 10 
705; 287; 71.07%; 99.90%; 15.42; 7; 1 
766; 226; 77.22%; 99.90%; 15.06; 7; 2 
834; 158; 84.07%; 99.90%; 14.66; 7; 3 
855; 137; 86.19%; 99.90%; 13.26; 7; 5 
868; 124; 87.50%; 99.90%; 8.88; 7; 7 
866; 126; 87.30%; 99.90%; 5.47; 7; 8 
888; 104; 89.52%; 99.90%; 1.38; 7; 10 
689; 303; 69.46%; 99.90%; 11.83; 10; 1 
757; 235; 76.31%; 99.90%; 12.48; 10; 2 
689; 303; 69.46%; 99.90%; 14.92; 10; 1 
757; 235; 76.31%; 99.90%; 14.52; 10; 2 
837; 155; 84.38%; 99.90%; 13.61; 10; 3 
851; 141; 85.79%; 99.90%; 14.70; 10; 4 
857; 135; 86.39%; 99.90%; 13.89; 10; 5 
864; 128; 87.10%; 99.90%; 11.90; 10; 6 
877; 115; 88.41%; 99.90%; 8.49; 10; 7 
880; 112; 88.71%; 99.90%; 5.10; 10; 8 
882; 110; 88.91%; 99.90%; 2.66; 10; 9 
889; 103; 89.62%; 99.90%; 1.54; 10; 10 
703; 289; 70.87%; 99.90%; 16.48; 14; 1 
758; 234; 76.41%; 99.90%; 16.20; 14; 2 
836; 156; 84.27%; 99.90%; 15.67; 14; 3 
847; 145; 85.38%; 99.90%; 14.94; 14; 4 
858; 134; 86.49%; 99.90%; 13.96; 14; 5 
870; 122; 87.70%; 99.90%; 11.46; 14; 6 
875; 117; 88.21%; 99.90%; 7.88; 14; 7 
891; 101; 89.82%; 99.90%; 4.81; 14; 8 
893; 99; 90.02%; 99.90%; 2.77; 14; 9 
896; 96; 90.32%; 99.90%; 1.75; 14; 10 
676; 316; 68.15%; 99.90%; 16.39; 20; 1 
738; 254; 74.40%; 99.90%; 16.35; 20; 2 
831; 161; 83.77%; 99.90%; 15.61; 20; 3 
849; 143; 85.58%; 99.90%; 14.89; 20; 4 
858; 134; 86.49%; 99.90%; 13.34; 20; 5 
871; 121; 87.80%; 99.90%; 10.65; 20; 6 
880; 112; 88.71%; 99.90%; 7.36; 20; 7 
886; 106; 89.31%; 99.90%; 4.77; 20; 8 
893; 99; 90.02%; 99.90%; 3.04; 20; 9 
897; 95; 90.42%; 99.90%; 1.98; 20; 10 
676; 316; 68.15%; 99.90%; 16.65; 30; 1 
732; 260; 73.79%; 99.90%; 16.14; 30; 2 
821; 171; 82.76%; 99.90%; 15.75; 30; 3 
835; 157; 84.17%; 99.90%; 14.68; 30; 4 
840; 152; 84.68%; 99.90%; 12.81; 30; 5 
847; 145; 85.38%; 99.90%; 10.30; 30; 6 
861; 131; 86.79%; 99.90%; 7.42; 30; 7 
865; 127; 87.20%; 99.90%; 5.09; 30; 8 
873; 119; 88.00%; 99.90%; 3.52; 30; 9 
875; 117; 88.21%; 99.90%; 2.45; 30; 10 
