69; 181; 27.60%; 99.90%; 16.60; 1; 1 
83; 167; 33.20%; 99.90%; 15.05; 1; 2 
109; 141; 43.60%; 99.90%; 14.85; 1; 3 
128; 122; 51.20%; 99.90%; 13.50; 1; 5 
129; 121; 51.60%; 99.90%; 8.93; 1; 7 
131; 119; 52.40%; 99.90%; 5.21; 1; 8 
127; 123; 50.80%; 99.90%; 1.61; 1; 10 
68; 182; 27.20%; 99.90%; 16.42; 2; 1 
83; 167; 33.20%; 99.90%; 16.09; 2; 2 
107; 143; 42.80%; 99.90%; 15.40; 2; 3 
131; 119; 52.40%; 99.90%; 13.63; 2; 5 
132; 118; 52.80%; 99.90%; 10.18; 2; 7 
129; 121; 51.60%; 99.90%; 6.36; 2; 8 
126; 124; 50.40%; 99.90%; 1.35; 2; 10 
72; 178; 28.80%; 99.90%; 16.52; 3; 1 
83; 167; 33.20%; 99.90%; 15.85; 3; 2 
115; 135; 46.00%; 99.90%; 15.56; 3; 3 
127; 123; 50.80%; 99.90%; 13.65; 3; 5 
136; 114; 54.40%; 99.90%; 10.14; 3; 7 
136; 114; 54.40%; 99.90%; 6.76; 3; 8 
140; 110; 56.00%; 99.90%; 1.34; 3; 10 
77; 173; 30.80%; 99.90%; 16.54; 5; 1 
84; 166; 33.60%; 99.90%; 16.18; 5; 2 
110; 140; 44.00%; 99.90%; 15.46; 5; 3 
128; 122; 51.20%; 99.90%; 13.73; 5; 5 
135; 115; 54.00%; 99.90%; 9.82; 5; 7 
140; 110; 56.00%; 99.90%; 5.82; 5; 8 
143; 107; 57.20%; 99.90%; 1.36; 5; 10 
73; 177; 29.20%; 99.90%; 16.54; 7; 1 
87; 163; 34.80%; 99.90%; 16.08; 7; 2 
115; 135; 46.00%; 99.90%; 15.52; 7; 3 
129; 121; 51.60%; 99.90%; 14.00; 7; 5 
138; 112; 55.20%; 99.90%; 9.27; 7; 7 
139; 111; 55.60%; 99.90%; 5.67; 7; 8 
147; 103; 58.80%; 99.90%; 1.43; 7; 10 
69; 181; 27.60%; 99.90%; 16.63; 10; 1 
94; 156; 37.60%; 99.90%; 16.25; 10; 2 
118; 132; 47.20%; 99.90%; 15.82; 10; 3 
129; 121; 51.60%; 99.90%; 14.02; 10; 5 
136; 114; 54.40%; 99.90%; 8.57; 10; 7 
141; 109; 56.40%; 99.90%; 5.14; 10; 8 
148; 102; 59.20%; 99.90%; 1.52; 10; 10 
76; 174; 30.40%; 99.90%; 16.74; 14; 1 
83; 167; 33.20%; 99.90%; 16.59; 14; 2 
121; 129; 48.40%; 99.90%; 15.80; 14; 3 
131; 119; 52.40%; 99.90%; 13.83; 14; 5 
142; 108; 56.80%; 99.90%; 7.89; 14; 7 
146; 104; 58.40%; 99.90%; 4.80; 14; 8 
150; 100; 60.00%; 99.90%; 1.73; 14; 10 
75; 175; 30.00%; 99.90%; 16.81; 20; 1 
85; 165; 34.00%; 99.90%; 16.23; 20; 2 
119; 131; 47.60%; 99.90%; 16.03; 20; 3 
132; 118; 52.80%; 99.90%; 13.59; 20; 5 
137; 113; 54.80%; 99.90%; 7.39; 20; 7 
141; 109; 56.40%; 99.90%; 4.73; 20; 8 
148; 102; 59.20%; 99.90%; 1.94; 20; 10 
73; 177; 29.20%; 99.90%; 16.82; 30; 1 
80; 170; 32.00%; 99.90%; 16.38; 30; 2 
105; 145; 42.00%; 99.90%; 15.97; 30; 3 
124; 126; 49.60%; 99.90%; 13.03; 30; 5 
124; 126; 49.60%; 99.90%; 7.37; 30; 7 
131; 119; 52.40%; 99.90%; 5.05; 30; 8 
135; 115; 54.00%; 99.90%; 2.15; 30; 10 
