Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
124;126;250;0.4960;1.0000;7.57;3;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
124;126;250;0.4960;1.0000;2.41;3;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
73;177;250;0.2920;1.0000;12.51;5;1;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
115;135;250;0.4600;1.0000;12.13;5;3;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
133;117;250;0.5320;1.0000;11.17;5;5;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
132;118;250;0.5280;1.0000;7.05;5;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
133;117;250;0.5320;1.0000;2.52;5;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
69;181;250;0.2760;1.0000;12.47;7;1;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
112;138;250;0.4480;1.0000;12.28;7;3;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
129;121;250;0.5160;1.0000;11.16;7;5;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
133;117;250;0.5320;1.0000;6.66;7;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
145;105;250;0.5800;1.0000;2.66;7;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
65;185;250;0.2600;1.0000;12.58;8;1;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
110;140;250;0.4400;1.0000;12.10;8;3;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
126;124;250;0.5040;1.0000;11.06;8;5;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
132;118;250;0.5280;1.0000;6.58;8;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
143;107;250;0.5720;1.0000;2.72;8;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
63;187;250;0.2520;1.0000;12.48;10;1;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
98;152;250;0.3920;1.0000;12.17;10;3;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
120;130;250;0.4800;1.0000;10.89;10;5;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
132;118;250;0.5280;1.0000;6.43;10;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
138;112;250;0.5520;1.0000;2.89;10;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
63;187;250;0.2520;1.0000;12.58;20;1;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
95;155;250;0.3800;1.0000;11.98;20;3;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
106;144;250;0.4240;1.0000;10.21;20;5;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
111;139;250;0.4440;1.0000;6.57;20;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
